prompt_idx,prompt,profile_name,generation_idx,generated_text,length,distinct_1,distinct_2,distinct_3,repetition_rate,sentiment_polarity,sentiment_subjectivity,perplexity,rouge_l,entropy,hormone_dopamine,hormone_cortisol,hormone_oxytocin,hormone_adrenaline,hormone_serotonin,hormone_dynamic,hormone_learning_rate
0,I'm worried about my job interview next week.,baseline,0,"I'm worried about my job interview next week. I'm not allowed back in until my father has a chance to review some notes,"" Brown said.

Brown said he was not surprised by the letter to his mother in which he admitted to knowing about a sexual assault before. However, he said the letter is clear that he has been the victim",61,0.7213114754098361,0.9833333333333333,1.0,0.0,0.07916666666666668,0.3611111111111111,16.193872451782227,0.25,3.6157636642456055,0.5,0.5,0.5,0.5,0.5,False,0.1
0,I'm worried about my job interview next week.,baseline,1,"I'm worried about my job interview next week. I'm a lot closer to the kids who are my boss.

""We are not allowed to have sex, have kids, engage in violence.""

But if we aren't in a relationship, we can be told we should just be away.

""I'm concerned about my",51,0.7647058823529411,0.98,1.0,0.0,0.0,0.0,15.601505279541016,0.28125,3.62937593460083,0.5,0.5,0.5,0.5,0.5,False,0.1
0,I'm worried about my job interview next week.,baseline,2,"I'm worried about my job interview next week. I will have that last place I'll have a chance of getting paid. If I'm told I got paid by my boss, that's not right, that's just bad publicity,"" she says, then adds, in a similar voice that is so close her name sounds in the company's English,",56,0.8571428571428571,1.0,1.0,0.0,-0.14047619047619045,0.27817460317460313,22.834232330322266,0.2535211267605634,3.6997218132019043,0.5,0.5,0.5,0.5,0.5,False,0.1
0,I'm worried about my job interview next week.,baseline,3,"I'm worried about my job interview next week. Don't be scared or afraid to walk into this office and ask about where I'm gonna get the papers, no questions asked. Make sure everything is covered so when it comes time for those papers, the right questions can be answered. I get three emails out of every office on a regular basis,",61,0.8688524590163934,1.0,1.0,0.0,0.037142857142857144,0.4803052503052503,18.483858108520508,0.2465753424657534,3.3181164264678955,0.5,0.5,0.5,0.5,0.5,False,0.1
0,I'm worried about my job interview next week.,baseline,4,"I'm worried about my job interview next week. You should have done better than that. I know you'll think about it. But, well… it may come back to bite you in the ass. But, here you have it. It's not a good enough reason to do it. And, it was a real bad reason to do it",57,0.7543859649122807,0.9642857142857143,0.9818181818181818,0.018181818181818188,-0.14166666666666666,0.43333333333333335,13.072263717651367,0.2608695652173913,3.2939014434814453,0.5,0.5,0.5,0.5,0.5,False,0.1
0,I'm worried about my job interview next week.,high_dopamine,0,"I'm worried about my job interview next week. I know a girl who has given birth to twins when she was five, and my life got away from her like it should have. But I'm so grateful to them.

And then there is you: we all have jobs all over the world, but we do not like to be called",60,0.85,1.0,1.0,0.0,0.0,0.0,16.6137752532959,0.2535211267605634,3.324363946914673,0.9,0.5,0.5,0.5,0.5,False,0.1
0,I'm worried about my job interview next week.,high_dopamine,1,"I'm worried about my job interview next week. There's no chance I'll be let out of school this weekend, so I'm just going right out here trying.

This article is copyright of Filedrope.com, a service that analyzes and promotes the news through its websites. It does not constitute an endorsement by the F",53,0.9056603773584906,1.0,1.0,0.0,0.14285714285714285,0.26785714285714285,16.435951232910156,0.26865671641791045,3.3917527198791504,0.9,0.5,0.5,0.5,0.5,False,0.1
0,I'm worried about my job interview next week.,high_dopamine,2,"I'm worried about my job interview next week. I've been telling my managers that I'd like to work after tomorrow in an electronics startup, and when they refused to accept me, I started going out there. I was supposed to go to a technology company. I got married two weeks before that, and then they got my dad. He just",60,0.8333333333333334,1.0,1.0,0.0,0.125,0.125,19.39608383178711,0.25,3.589492082595825,0.9,0.5,0.5,0.5,0.5,False,0.1
0,I'm worried about my job interview next week.,high_dopamine,3,"I'm worried about my job interview next week. It takes so much time to learn these rules and apply them. They work a bit out of style, not as much as we should. Our job interviews and interviews often are all about a person's demeanor in a professional context.

Our focus is more on finding potential customers and hiring their next",61,0.819672131147541,1.0,1.0,0.0,0.14285714285714285,0.2857142857142857,24.459823608398438,0.25,3.7125065326690674,0.9,0.5,0.5,0.5,0.5,False,0.1
0,I'm worried about my job interview next week.,high_dopamine,4,"I'm worried about my job interview next week. You are an artist who doesn't need an interview. I am worried about my son coming to the academy now, which was a decision that was based heavily on the need in our family.

""No one was upset with us before we went through that,"" he said. ""The kids and",58,0.8620689655172413,0.9649122807017544,0.9821428571428571,0.017857142857142905,-0.1,0.25,20.481155395507812,0.2608695652173913,3.4700918197631836,0.9,0.5,0.5,0.5,0.5,False,0.1
